id;name;price;category
P-001;Ноутбук Lenovo ThinkPad;32500.00;Комп'ютери
P-002;Монітор Dell 27 4K;14200.50;Периферія
P-003;Механічна клавіатура Keychron;4100.00;Аксесуари
P-004;Бездротова миша Logitech MX;3450.75;Аксесуари
P-005;Навушники Sony WH-1000XM5;12999.00;Аудіо
P-006;Веб-камера Logitech Brio;6800.00;Відео
P-007;USB-хаб Baseus Type-C;1250.00;Комутація
P-008;SSD накопичувач Samsung 1TB;3890.00;Накопичувачі
P-009;Мікрофон Rode NT-USB;5600.00;Аудіо
P-010;Крісло ергономічне Hator;8900.00;Меблі
P-011;Кабель HDMI 2.1
P-012;Графічний планшет Wacom;безкоштовно;Периферія
P-013;;1500.00;Комплектуючі
